,uid,reg_date,device,gender,country,age,Flag
1,72574201.0,2018-03-05T00:00:00Z,iOS,F,TUR,22,Control
2,64187558.0,2016-02-07T00:00:00Z,iOS,M,USA,16,Control
4,99231338.0,2017-03-26T00:00:00Z,iOS,M,FRA,59,Control
7,36350096.0,2017-04-07T00:00:00Z,and,M,USA,23,Control
8,98955454.0,2016-08-11T00:00:00Z,and,M,USA,22,Control
9,40461463.0,2017-07-16T00:00:00Z,and,M,BRA,32,Control
11,60943517.0,2018-03-07T00:00:00Z,and,M,USA,22,Control
15,58375061.0,2016-06-26T00:00:00Z,iOS,M,USA,25,Control
17,73480791.0,2017-08-20T00:00:00Z,iOS,M,BRA,45,Control
19,89464221.0,2018-01-24T00:00:00Z,iOS,F,USA,21,Control
21,75142313.0,2017-05-30T00:00:00Z,iOS,F,USA,83,Control
23,96565337.0,2018-01-16T00:00:00Z,and,M,DEU,20,Control
26,16113980.0,2017-06-17T00:00:00Z,and,F,CAN,17,Control
32,25358483.0,2016-04-07T00:00:00Z,and,M,USA,64,Control
34,18720551.0,2017-07-05T00:00:00Z,iOS,M,DEU,24,Control
42,38628362.0,2018-03-08T00:00:00Z,and,F,USA,15,Control
46,35580487.0,2017-09-29T00:00:00Z,and,F,USA,24,Control
47,72243472.0,2015-08-03T00:00:00Z,iOS,F,USA,15,Control
56,59666846.0,2017-12-23T00:00:00Z,and,F,BRA,23,Control
61,45670233.0,2017-10-03T00:00:00Z,and,F,CAN,23,Control
64,26829700.0,2016-08-22T00:00:00Z,and,M,USA,17,Control
65,49518970.0,2015-06-05T00:00:00Z,and,M,USA,21,Control
70,69978208.0,2017-03-14T00:00:00Z,iOS,M,USA,16,Control
73,76040729.0,2016-03-30T00:00:00Z,iOS,F,USA,15,Control
75,93400428.0,2017-07-23T00:00:00Z,and,M,BRA,18,Control
77,56024697.0,2018-03-17T00:00:00Z,and,M,BRA,16,Control
78,11300465.0,2016-01-19T00:00:00Z,iOS,M,FRA,21,Control
80,70069860.0,2017-12-19T00:00:00Z,and,F,BRA,17,Control
87,30120100.0,2017-12-24T00:00:00Z,and,F,DEU,31,Control
89,74650949.0,2017-03-29T00:00:00Z,iOS,F,BRA,27,Control
90,85383645.0,2017-08-31T00:00:00Z,iOS,M,DEU,33,Control
94,15917829.0,2017-11-27T00:00:00Z,and,F,USA,36,Control
97,22599212.0,2015-06-23T00:00:00Z,iOS,M,DEU,42,Control
98,67728035.0,2018-02-28T00:00:00Z,iOS,M,CAN,29,Control
100,89061574.0,2018-02-18T00:00:00Z,iOS,F,FRA,22,Control
101,46616311.0,2017-05-02T00:00:00Z,and,F,USA,17,Control
102,37708111.0,2017-07-27T00:00:00Z,and,M,USA,16,Control
104,89312230.0,2016-09-20T00:00:00Z,and,M,DEU,21,Control
111,61104056.0,2018-03-18T00:00:00Z,and,M,USA,18,Control
112,80423456.0,2016-08-27T00:00:00Z,and,M,USA,18,Control
113,21367178.0,2017-11-04T00:00:00Z,and,M,USA,18,Control
114,15446544.0,2017-03-28T00:00:00Z,and,M,TUR,16,Control
115,34348321.0,2017-03-29T00:00:00Z,iOS,M,BRA,32,Control
117,82911971.0,2018-01-05T00:00:00Z,iOS,M,BRA,20,Control
123,45539720.0,2017-03-13T00:00:00Z,iOS,M,USA,19,Control
125,84056042.0,2016-11-29T00:00:00Z,and,F,DEU,16,Control
126,75610381.0,2018-03-17T00:00:00Z,iOS,M,DEU,44,Control
129,86575740.0,2016-10-11T00:00:00Z,and,M,USA,29,Control
141,88961531.0,2017-08-18T00:00:00Z,and,M,CAN,23,Control
142,85455628.0,2018-01-24T00:00:00Z,iOS,M,USA,48,Control
143,59293403.0,2017-12-20T00:00:00Z,and,F,USA,16,Control
144,88322199.0,2016-07-04T00:00:00Z,and,F,USA,21,Control
146,82906474.0,2017-07-11T00:00:00Z,iOS,M,BRA,18,Control
147,24730305.0,2018-03-05T00:00:00Z,and,M,CAN,16,Control
148,80640361.0,2018-01-30T00:00:00Z,and,M,USA,27,Control
151,75572676.0,2018-03-15T00:00:00Z,and,F,USA,25,Control
157,14643990.0,2017-07-02T00:00:00Z,and,F,CAN,17,Control
162,68314120.0,2017-09-12T00:00:00Z,and,F,FRA,22,Control
163,76719622.0,2018-01-23T00:00:00Z,and,M,TUR,17,Control
172,73900921.0,2017-04-22T00:00:00Z,iOS,M,TUR,18,Control
173,78368042.0,2016-09-27T00:00:00Z,and,M,BRA,16,Control
176,44562562.0,2016-11-27T00:00:00Z,and,F,USA,33,Control
186,58656099.0,2016-07-12T00:00:00Z,iOS,F,USA,29,Control
190,32534439.0,2017-09-25T00:00:00Z,iOS,F,BRA,18,Control
193,90876457.0,2018-03-10T00:00:00Z,iOS,F,BRA,22,Control
195,68905032.0,2017-11-29T00:00:00Z,and,M,TUR,23,Control
196,99201953.0,2018-03-13T00:00:00Z,and,M,BRA,32,Control
197,87378125.0,2016-10-13T00:00:00Z,and,F,USA,15,Control
198,55834439.0,2018-01-27T00:00:00Z,and,F,BRA,21,Control
199,88120639.0,2016-12-13T00:00:00Z,and,M,USA,26,Control
200,49725720.0,2017-09-23T00:00:00Z,and,F,TUR,29,Control
201,61015529.0,2017-05-13T00:00:00Z,iOS,M,TUR,22,Control
206,99472712.0,2017-06-22T00:00:00Z,and,F,BRA,20,Control
207,18473785.0,2017-10-15T00:00:00Z,iOS,M,BRA,18,Control
208,99309406.0,2017-08-11T00:00:00Z,and,F,USA,39,Control
209,94633014.0,2017-02-09T00:00:00Z,iOS,F,TUR,31,Control
212,65212296.0,2017-03-31T00:00:00Z,and,F,TUR,32,Control
214,75763997.0,2016-06-12T00:00:00Z,and,F,BRA,16,Control
216,61696341.0,2017-09-21T00:00:00Z,iOS,M,USA,19,Control
217,27871636.0,2015-09-13T00:00:00Z,and,F,USA,46,Control
218,57311167.0,2018-02-06T00:00:00Z,and,F,USA,15,Control
219,58068240.0,2016-03-05T00:00:00Z,and,F,USA,22,Control
226,18225818.0,2017-11-16T00:00:00Z,and,F,FRA,17,Control
228,87801530.0,2017-06-03T00:00:00Z,iOS,F,BRA,41,Control
229,19142545.0,2017-07-07T00:00:00Z,iOS,F,DEU,20,Control
234,37502151.0,2017-05-25T00:00:00Z,iOS,F,BRA,16,Control
235,34956713.0,2017-10-04T00:00:00Z,iOS,M,TUR,19,Control
239,58364699.0,2017-06-07T00:00:00Z,iOS,M,DEU,28,Control
240,71937671.0,2016-03-28T00:00:00Z,iOS,F,DEU,15,Control
243,91553462.0,2018-01-12T00:00:00Z,and,M,TUR,16,Control
244,83693497.0,2017-02-17T00:00:00Z,iOS,M,USA,18,Control
246,12295769.0,2017-01-06T00:00:00Z,and,F,DEU,30,Control
251,21964824.0,2018-03-04T00:00:00Z,iOS,F,TUR,15,Control
253,14167613.0,2018-02-27T00:00:00Z,iOS,M,CAN,37,Control
254,30910649.0,2017-12-01T00:00:00Z,and,F,TUR,15,Control
255,32283870.0,2016-08-22T00:00:00Z,iOS,F,TUR,25,Control
258,92427121.0,2017-08-28T00:00:00Z,and,M,BRA,25,Control
260,57330148.0,2015-07-28T00:00:00Z,iOS,M,BRA,30,Control
263,58614173.0,2017-11-19T00:00:00Z,and,M,DEU,30,Control
266,41047760.0,2015-09-04T00:00:00Z,iOS,F,CAN,19,Control
267,63182097.0,2017-04-03T00:00:00Z,iOS,F,BRA,17,Control
268,87525475.0,2017-06-16T00:00:00Z,iOS,M,DEU,17,Control
272,92983490.0,2018-03-04T00:00:00Z,and,F,DEU,20,Control
273,58904519.0,2018-02-21T00:00:00Z,iOS,F,USA,22,Control
278,99916096.0,2017-09-27T00:00:00Z,and,F,USA,18,Control
279,99888805.0,2016-12-02T00:00:00Z,iOS,M,USA,15,Control
280,56796198.0,2017-12-29T00:00:00Z,and,F,TUR,54,Control
281,95674089.0,2016-05-21T00:00:00Z,and,M,BRA,34,Control
282,96840524.0,2017-03-07T00:00:00Z,and,M,DEU,36,Control
285,46187879.0,2018-02-02T00:00:00Z,iOS,M,USA,21,Control
289,30962180.0,2018-02-01T00:00:00Z,and,F,TUR,25,Control
291,69804359.0,2017-12-30T00:00:00Z,iOS,F,USA,25,Control
294,25435628.0,2017-01-24T00:00:00Z,and,F,BRA,30,Control
296,70314912.0,2018-02-20T00:00:00Z,iOS,F,BRA,22,Control
297,43300676.0,2016-01-13T00:00:00Z,and,F,TUR,18,Control
300,87948327.0,2016-06-11T00:00:00Z,iOS,F,TUR,15,Control
301,82032467.0,2018-02-23T00:00:00Z,and,F,FRA,17,Control
302,70815497.0,2018-02-20T00:00:00Z,iOS,M,BRA,18,Control
303,85953695.0,2017-05-17T00:00:00Z,and,F,FRA,24,Control
307,61685054.0,2018-01-15T00:00:00Z,and,M,BRA,20,Control
308,81384864.0,2018-03-12T00:00:00Z,and,M,USA,15,Control
311,27462048.0,2015-01-27T00:00:00Z,iOS,M,USA,52,Control
314,36282124.0,2017-03-02T00:00:00Z,and,F,USA,16,Control
319,54143576.0,2016-02-28T00:00:00Z,and,M,BRA,16,Control
324,94231640.0,2016-11-01T00:00:00Z,and,F,FRA,23,Control
325,75633715.0,2016-07-28T00:00:00Z,and,F,DEU,15,Control
326,92733510.0,2015-08-24T00:00:00Z,and,M,BRA,15,Control
328,13038192.0,2017-08-24T00:00:00Z,iOS,M,BRA,16,Control
330,75808644.0,2018-01-08T00:00:00Z,and,M,BRA,19,Control
335,22995892.0,2016-06-15T00:00:00Z,and,F,TUR,23,Control
338,81403954.0,2018-02-26T00:00:00Z,and,F,USA,19,Control
340,70732915.0,2018-01-23T00:00:00Z,iOS,F,BRA,35,Control
344,25194914.0,2017-07-19T00:00:00Z,and,M,BRA,19,Control
347,37679198.0,2018-03-12T00:00:00Z,and,M,BRA,25,Control
349,83807431.0,2018-01-04T00:00:00Z,iOS,M,USA,55,Control
350,70564535.0,2017-12-06T00:00:00Z,and,F,DEU,21,Control
351,11376870.0,2017-07-20T00:00:00Z,iOS,M,DEU,17,Control
352,19569768.0,2017-11-24T00:00:00Z,and,F,USA,21,Control
354,26897417.0,2017-04-19T00:00:00Z,and,F,BRA,24,Control
355,81386640.0,2018-03-14T00:00:00Z,iOS,M,USA,31,Control
356,89672821.0,2018-01-30T00:00:00Z,and,F,USA,16,Control
357,95718406.0,2016-11-06T00:00:00Z,and,F,USA,19,Control
359,57905765.0,2018-01-07T00:00:00Z,iOS,M,BRA,15,Control
361,43777639.0,2018-03-03T00:00:00Z,iOS,F,TUR,19,Control
