,uid,reg_date,device,gender,country,age,Flag
0,54030035.0,2017-06-29T00:00:00Z,and,M,USA,19,Test
1,72574201.0,2018-03-05T00:00:00Z,iOS,F,TUR,22,Control
2,64187558.0,2016-02-07T00:00:00Z,iOS,M,USA,16,Control
3,92513925.0,2017-05-25T00:00:00Z,and,M,BRA,41,Test
4,99231338.0,2017-03-26T00:00:00Z,iOS,M,FRA,59,Control
5,64229733.0,2017-05-17T00:00:00Z,and,F,USA,17,Test
6,16377492.0,2016-10-16T00:00:00Z,and,M,BRA,20,Test
7,36350096.0,2017-04-07T00:00:00Z,and,M,USA,23,Control
8,98955454.0,2016-08-11T00:00:00Z,and,M,USA,22,Control
9,40461463.0,2017-07-16T00:00:00Z,and,M,BRA,32,Control
10,99094125.0,2016-02-11T00:00:00Z,iOS,M,USA,16,Test
11,60943517.0,2018-03-07T00:00:00Z,and,M,USA,22,Control
12,13373345.0,2017-09-08T00:00:00Z,and,M,USA,19,Test
13,89447705.0,2017-11-06T00:00:00Z,and,F,USA,20,Test
14,74263197.0,2017-06-22T00:00:00Z,and,F,BRA,24,Test
15,58375061.0,2016-06-26T00:00:00Z,iOS,M,USA,25,Control
16,61798397.0,2016-12-29T00:00:00Z,and,F,USA,23,Test
17,73480791.0,2017-08-20T00:00:00Z,iOS,M,BRA,45,Control
18,50777128.0,2017-08-10T00:00:00Z,iOS,F,DEU,30,Test
19,89464221.0,2018-01-24T00:00:00Z,iOS,F,USA,21,Control
20,53378171.0,2017-12-02T00:00:00Z,iOS,M,USA,23,Test
21,75142313.0,2017-05-30T00:00:00Z,iOS,F,USA,83,Control
22,72086031.0,2017-03-28T00:00:00Z,iOS,F,USA,52,Test
23,96565337.0,2018-01-16T00:00:00Z,and,M,DEU,20,Control
24,36476360.0,2018-01-29T00:00:00Z,iOS,M,FRA,19,Test
25,20819344.0,2017-11-09T00:00:00Z,and,M,BRA,33,Test
26,16113980.0,2017-06-17T00:00:00Z,and,F,CAN,17,Control
27,12223114.0,2017-07-08T00:00:00Z,and,F,BRA,16,Test
28,89173956.0,2016-05-28T00:00:00Z,and,F,DEU,25,Test
29,66770349.0,2018-02-17T00:00:00Z,and,F,USA,16,Test
30,24708291.0,2016-01-28T00:00:00Z,and,F,TUR,37,Test
31,66835609.0,2018-03-08T00:00:00Z,and,M,BRA,19,Test
32,25358483.0,2016-04-07T00:00:00Z,and,M,USA,64,Control
33,61509814.0,2017-08-18T00:00:00Z,iOS,F,USA,22,Test
34,18720551.0,2017-07-05T00:00:00Z,iOS,M,DEU,24,Control
35,87711484.0,2018-01-19T00:00:00Z,iOS,M,USA,19,Test
36,43052026.0,2016-10-31T00:00:00Z,iOS,M,DEU,35,Test
37,53111877.0,2017-02-15T00:00:00Z,iOS,M,USA,16,Test
38,30657860.0,2016-09-28T00:00:00Z,and,M,USA,22,Test
39,79481427.0,2016-03-03T00:00:00Z,and,M,TUR,17,Test
40,30363170.0,2016-09-11T00:00:00Z,iOS,F,TUR,20,Test
41,74247839.0,2017-04-04T00:00:00Z,and,F,USA,19,Test
42,38628362.0,2018-03-08T00:00:00Z,and,F,USA,15,Control
43,15487475.0,2017-11-19T00:00:00Z,iOS,F,CAN,17,Test
44,25033821.0,2016-08-19T00:00:00Z,iOS,F,USA,21,Test
45,90562190.0,2017-09-04T00:00:00Z,iOS,M,TUR,16,Test
46,35580487.0,2017-09-29T00:00:00Z,and,F,USA,24,Control
47,72243472.0,2015-08-03T00:00:00Z,iOS,F,USA,15,Control
48,11309555.0,2015-02-16T00:00:00Z,and,F,USA,24,Test
49,39486145.0,2017-11-26T00:00:00Z,iOS,M,USA,20,Test
50,48325633.0,2017-11-20T00:00:00Z,iOS,M,USA,24,Test
51,18035072.0,2017-09-26T00:00:00Z,and,M,BRA,23,Test
52,67732177.0,2017-08-27T00:00:00Z,and,M,USA,17,Test
53,23360771.0,2018-01-20T00:00:00Z,and,M,BRA,51,Test
54,62526257.0,2017-03-17T00:00:00Z,iOS,M,USA,37,Test
55,85426418.0,2018-02-26T00:00:00Z,and,F,TUR,19,Test
56,59666846.0,2017-12-23T00:00:00Z,and,F,BRA,23,Control
57,77010199.0,2018-02-04T00:00:00Z,and,F,CAN,30,Test
58,67440775.0,2018-02-02T00:00:00Z,and,M,BRA,53,Test
59,51271176.0,2018-01-14T00:00:00Z,and,F,USA,30,Test
60,76700000.0,2017-10-18T00:00:00Z,iOS,M,DEU,31,Test
61,45670233.0,2017-10-03T00:00:00Z,and,F,CAN,23,Control
